JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name_Devboard Routed Backup-JLCPCB Assembly Order.xlsx,,,Download Time_2025-12-13 15:56:26,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty_5,,,Est. Total Price_3.9206,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C3,C5,C7,C6",,0.1uF,C_0402_1005Metric,,Select by Customer,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (CL05B104KO5NNNC) of this part does not match the one (0.1uF) provided in your BOM. Please confirm;,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,Basic,8,8 JLCPCB,0.0096
C4,,22uF,C_0603_1608Metric,,Select by Customer,CL10A226MP8NUNE,Samsung Electro-Mechanics,0603,10V 22uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C86295,https://jlcpcb.com/partdetail/87471-CL10A226MP8NUNE/C86295,Extended,20,20 JLCPCB,0.288
"C8,C2,C1",,10uF,C_0603_1608Metric,,Select by Customer,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,Basic,6,6 JLCPCB,0.0336
FB1,,FerriteBead,L_Walsin_WLFM201209x,,Select by Customer,BLM21PG221SN1D,Murata Electronics,0805,1 220½@100MHz 2A 45m½ ±25% 0805 Ferrite Beads ROHS,Ferrite Beads,,C85840,https://jlcpcb.com/partdetail/MurataElectronics-BLM21PG221SN1D/C85840,Extended,20,20 JLCPCB,0.316
J1,,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,Select by Customer,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,1 16P 5A Female Type-C SMD USB Connectors ROHS,USB Connectors,,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,Extended,2,2 JLCPCB,0.3388
"J3,J7,J2",,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,,Select by Customer,2.54-1*40P__,BOOMELE(Boom Precision Elec),"__,P=2.54mm","-25_~+85_ 1 1x40P 2.54mm 2.5mm 3A 3mm 40P 6mm Black Brass Gold Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;,C2337,https://jlcpcb.com/partdetail/2712-2_54_1_40P/C2337,Extended,0,0 JLCPCB,0
"J6,J5",,Conn_01x14,PinHeader_1x14_P2.54mm_Vertical,,Select by Customer,2.54-1*40P__,BOOMELE(Boom Precision Elec),"__,P=2.54mm","-25_~+85_ 1 1x40P 2.54mm 2.5mm 3A 3mm 40P 6mm Black Brass Gold Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;,C2337,https://jlcpcb.com/partdetail/2712-2_54_1_40P/C2337,Extended,0,0 JLCPCB,0
J4,,Micro_SD_Card,microSD_HC_Molex_104031-0811,,Select by Customer,473521001,MOLEX,SMD,-40_~+85_ Connector and Ejector MicroSD Card (TF Card) Push-Push SMD SD Card / Memory Card Connector ROHS,SD Card / Memory Card Connector,,C293569,https://jlcpcb.com/partdetail/MOLEX-473521001/C293569,Extended,2,2 JLCPCB,1.869
"R2,R1",,5.1k,R_0402_1005Metric,,Select by Customer,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,-55_~+155_ 5.1k½ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/_ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,4,4 JLCPCB,0.002
"R4,R3",,27,R_0402_1005Metric,,Select by Customer,0402WGF270JTCE,UNI-ROYAL(Uniroyal Elec),0402,-55_~+155_ 27½ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/_ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF270JTCE) of this part does not match the one (27) provided in your BOM. Please confirm;,C25100,https://jlcpcb.com/partdetail/25843-0402WGF270JTCE/C25100,Extended,20,20 JLCPCB,0.012
"R5,R9,R10,R11,R12,R13,R7",,10k,R_0402_1005Metric,,Select by Customer,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,-55_~+155_ 10k½ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/_ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1002TCE) of this part does not match the one (10k) provided in your BOM. Please confirm;,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,14,14 JLCPCB,0.007
R6,,0,R_0402_1005Metric,,Select by Customer,PA0402-R-070RL,YAGEO,0402,-55_~+125_ 0½ 62.5mW ±150ppm/_ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (PA0402-R-070RL) of this part does not match the one (0) provided in your BOM. Please confirm;,C4044221,https://jlcpcb.com/partdetail/YAGEO-PA0402_R070RL/C4044221,Extended,5,5 JLCPCB,0.642
R8,,1M,R_0603_1608Metric,,Select by Customer,0603WAF1004T5E,UNI-ROYAL(Uniroyal Elec),0603,-55_~+155_ 100mW 1M½ 75V Thick Film Resistor ±1% ±100ppm/_ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF1004T5E) of this part does not match the one (1M) provided in your BOM. Please confirm;,C22935,https://jlcpcb.com/partdetail/23662-0603WAF1004T5E/C22935,Basic,2,2 JLCPCB,0.0022
"R15,R14",,4.7k,R_0402_1005Metric,,Select by Customer,0402WGF470JTCE,UNI-ROYAL(Uniroyal Elec),0402,-55_~+155_ 47½ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/_ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF470JTCE) of this part does not match the one (4.7k) provided in your BOM. Please confirm;,C25118,https://jlcpcb.com/partdetail/25861-0402WGF470JTCE/C25118,Extended,20,20 JLCPCB,0.012
"SW1,SW2",,SW_Push,SW_Push_SPST_NO_Alps_SKRK,,Select by Customer,TS-1088-AR02016,XUNPU,"SMD,4x3mm","-30_~+80_ 1.6N 100,000 Cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",Tactile Switches,,C720477,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,Basic,4,4 JLCPCB,0.17
U1,,ESP32-S3-WROOM-1U,ESP32-S3-WROOM-1U,,Select by Customer,ESP32-S3-WROOM-1U-N8,Espressif Systems,"SMD,19.2x18mm","-40_~+85_ -98.2dBm 2.4GHz 20.5dBm 355mA 3V~3.6V 95mA Bluetooth5.0 ESP32-S3 UART SMD,19.2x18mm WiFi Modules ROHS",WiFi Modules,,C2980297,https://jlcpcb.com/partdetail/3401549-ESP32_S3_WROOM_1UN8/C2980297,Extended,0,0 JLCPCB,0
U2,,MCP1700x-120xxMB,SOT-89-3,,Select by Customer,HT7533-1,Holtek Semicon,SOT-89-3,"-40_~+85_@(Ta) 1 100mA 2.5uA 25mV@(1mA) 3.3V 30V Fixed Positive SOT-89-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C14289,https://jlcpcb.com/partdetail/HoltekSemicon-HT75331/C14289,Basic,2,2 JLCPCB,0.2184